Platform,Demographic,Key,30Sec CPM,15Sec CPM,Other Sec CPM
Linear TV Metro 5 Cap Ten Network,P18+,Linear TV Metro 5 Cap Ten NetworkP18+,25.2,15.12,15.12
Linear TV Metro 5 Cap SBS Network,P18+,Linear TV Metro 5 Cap SBS NetworkP18+,23.66,14.1975,14.1975
Linear TV Regional 4 Seven Network,P18+,Linear TV Regional 4 Seven NetworkP18+,11.98,7.19,7.19
Linear TV Regional 4 Nine Network,P18+,Linear TV Regional 4 Nine NetworkP18+,10.82,6.49,6.49
Linear TV Regional 4 Ten Network,P18+,Linear TV Regional 4 Ten NetworkP18+,20.65,12.39,12.39
Linear TV Regional 4 SBS Network,P18+,Linear TV Regional 4 SBS NetworkP18+,10.34,6.2025,6.2025
Foxtel Linear,P18+,Foxtel LinearP18+,23,14,14
YouTube Instant Reserve,P18+,YouTube Instant ReserveP18+,15.58,14.2,14.2
YouTube Select,P18+,YouTube SelectP18+,41.38,26.56,26.56
YouTube OMG Line Ups,P18+,YouTube OMG Line UpsP18+,17.3,17.3,17.3
YouTube Vevo,P18+,YouTube VevoP18+,32.26,32.26,32.26
Nine Now,P18+,Nine NowP18+,39,28,28
Ten Play,P18+,Ten PlayP18+,34,28,28
Seven Plus,P18+,Seven PlusP18+,44,31,31
SBS On Demand,P18+,SBS On DemandP18+,44,44,44
Kayo,P18+,KayoP18+,39,33,33
Foxtel Go,P18+,Foxtel GoP18+,36,25,25
Binge,P18+,BingeP18+,51,36,36
Netflix,P18+,NetflixP18+,45,36,36
Amazon Prime,P18+,Amazon PrimeP18+,41,41,41
Samsung In-Stream,P18+,Samsung In-StreamP18+,33,28.05,28.05
ESPN Kayo,P18+,ESPN KayoP18+,40,30,30
Tubi,P18+,TubiP18+,27,25,25
Cinema Val Morgan MAP,P18+,Cinema Val Morgan MAPP18+,140,98,98
Cinema Val Morgan Roadblock,P18+,Cinema Val Morgan RoadblockP18+,112,79,79
Linear TV Metro & Regional,P18-64,Linear TV Metro & RegionalP18-64,50.35,30.21,30.21
Linear TV Metro,P18-64,Linear TV MetroP18-64,54.13,32.48,32.48
Linear TV Regional,P18-64,Linear TV RegionalP18-64,24.08,14.45,14.45
Linear TV Metro 5 Cap Seven Network,P18-64,Linear TV Metro 5 Cap Seven NetworkP18-64,65.6,39.36,39.36
Linear TV Metro 5 Cap Nine Network,P18-64,Linear TV Metro 5 Cap Nine NetworkP18-64,51.52,30.91,30.91
Linear TV Metro 5 Cap Ten Network,P18-64,Linear TV Metro 5 Cap Ten NetworkP18-64,38.35,23.01,23.01
Linear TV Metro 5 Cap SBS Network,P18-64,Linear TV Metro 5 Cap SBS NetworkP18-64,40.6,24.36,24.36
Linear TV Regional 4 Seven Network,P18-64,Linear TV Regional 4 Seven NetworkP18-64,28.23,16.94,16.94
Linear TV Regional 4 Nine Network,P18-64,Linear TV Regional 4 Nine NetworkP18-64,18.65,11.19,11.19
Linear TV Regional 4 Ten Network,P18-64,Linear TV Regional 4 Ten NetworkP18-64,57.13,34.28,34.28
Linear TV Regional 4 SBS Network,P18-64,Linear TV Regional 4 SBS NetworkP18-64,18.06,10.8375,10.8375
Foxtel Linear,P18-64,Foxtel LinearP18-64,29,17,17
YouTube Instant Reserve,P18-64,YouTube Instant ReserveP18-64,15.86,13.73,13.73
YouTube Select,P18-64,YouTube SelectP18-64,41.93,30.24,30.24
YouTube OMG Line Ups,P18-64,YouTube OMG Line UpsP18-64,18.83,18.83,18.83
YouTube Vevo,P18-64,YouTube VevoP18-64,32.26,32.26,32.26
Nine Now,P18-64,Nine NowP18-64,39,28,28
Ten Play,P18-64,Ten PlayP18-64,34,28,28
Seven Plus,P18-64,Seven PlusP18-64,44,31,31
SBS On Demand,P18-64,SBS On DemandP18-64,44,44,44
Kayo,P18-64,KayoP18-64,39,33,33
Foxtel Go,P18-64,Foxtel GoP18-64,36,25,25
Binge,P18-64,BingeP18-64,51,36,36
Netflix,P18-64,NetflixP18-64,45,36,36
Amazon Prime,P18-64,Amazon PrimeP18-64,41,41,41
Samsung In-Stream,P18-64,Samsung In-StreamP18-64,33,28.05,28.05
ESPN Kayo,P18-64,ESPN KayoP18-64,40,30,30
Tubi,P18-64,TubiP18-64,27,25,25
Cinema Val Morgan MAP,P18-64,Cinema Val Morgan MAPP18-64,158,111,111
Cinema Val Morgan Roadblock,P18-64,Cinema Val Morgan RoadblockP18-64,127,89,89
