Key,Demographic,Ad Duration,Platform,Building,Reinforcing,Impacting,Activating,Active 1 Sec,Active 2 Sec,Active 3 Sec,Active 4 Sec,Active 5 Sec,Active 6 Sec,Active 7 Sec,Active 8 Sec,Active 9 Sec,Active 10 Sec,Any 1 Sec,Any 2 Sec,Any 3 Sec,Any 4 Sec,Any 5 Sec,Any 6 Sec,Any 7 Sec,Any 8 Sec,Any 9 Sec,Any 10 Sec
Linear TV Metro 5 Cap Seven NetworkP18+30sec,P18+,30sec,Linear TV Metro 5 Cap Seven Network,0.671478736,0.898036156,0.301729744,0.44479126,0.44479126,0.400702302,0.357003512,0.325660034,0.301729744,0.272207049,0.257250618,0.239172844,0.220054623,0.199895955,1,1,1,0.950318637,0.898036156,0.838990766,0.794251528,0.75081285,0.712056184,0.671478736
Linear TV Metro 5 Cap Nine NetworkP18+30sec,P18+,30sec,Linear TV Metro 5 Cap Nine Network,0.671478736,0.898036156,0.301729744,0.44479126,0.44479126,0.400702302,0.357003512,0.325660034,0.301729744,0.272207049,0.257250618,0.239172844,0.220054623,0.199895955,1,1,1,0.950318637,0.898036156,0.838990766,0.794251528,0.75081285,0.712056184,0.671478736
Linear TV Metro 5 Cap Ten NetworkP18+30sec,P18+,30sec,Linear TV Metro 5 Cap Ten Network,0.671478736,0.898036156,0.301729744,0.44479126,0.44479126,0.400702302,0.357003512,0.325660034,0.301729744,0.272207049,0.257250618,0.239172844,0.220054623,0.199895955,1,1,1,0.950318637,0.898036156,0.838990766,0.794251528,0.75081285,0.712056184,0.671478736
Linear TV Metro 5 Cap SBS NetworkP18+30sec,P18+,30sec,Linear TV Metro 5 Cap SBS Network,0.671478736,0.898036156,0.301729744,0.44479126,0.44479126,0.400702302,0.357003512,0.325660034,0.301729744,0.272207049,0.257250618,0.239172844,0.220054623,0.199895955,1,1,1,0.950318637,0.898036156,0.838990766,0.794251528,0.75081285,0.712056184,0.671478736
Linear TV Regional 4 Seven NetworkP18+30sec,P18+,30sec,Linear TV Regional 4 Seven Network,0.671478736,0.898036156,0.301729744,0.44479126,0.44479126,0.400702302,0.357003512,0.325660034,0.301729744,0.272207049,0.257250618,0.239172844,0.220054623,0.199895955,1,1,1,0.950318637,0.898036156,0.838990766,0.794251528,0.75081285,0.712056184,0.671478736
Linear TV Regional 4 Nine NetworkP18+30sec,P18+,30sec,Linear TV Regional 4 Nine Network,0.671478736,0.898036156,0.301729744,0.44479126,0.44479126,0.400702302,0.357003512,0.325660034,0.301729744,0.272207049,0.257250618,0.239172844,0.220054623,0.199895955,1,1,1,0.950318637,0.898036156,0.838990766,0.794251528,0.75081285,0.712056184,0.671478736
Linear TV Regional 4 Ten NetworkP18+30sec,P18+,30sec,Linear TV Regional 4 Ten Network,0.671478736,0.898036156,0.301729744,0.44479126,0.44479126,0.400702302,0.357003512,0.325660034,0.301729744,0.272207049,0.257250618,0.239172844,0.220054623,0.199895955,1,1,1,0.950318637,0.898036156,0.838990766,0.794251528,0.75081285,0.712056184,0.671478736
Linear TV Regional 4 SBS NetworkP18+30sec,P18+,30sec,Linear TV Regional 4 SBS Network,0.671478736,0.898036156,0.301729744,0.44479126,0.44479126,0.400702302,0.357003512,0.325660034,0.301729744,0.272207049,0.257250618,0.239172844,0.220054623,0.199895955,1,1,1,0.950318637,0.898036156,0.838990766,0.794251528,0.75081285,0.712056184,0.671478736
Foxtel LinearP18+30sec,P18+,30sec,Foxtel Linear,0.736390533,0.900591716,0.28964497,0.386686391,0.386686391,0.348224852,0.319526627,0.304733728,0.28964497,0.275147929,0.257988166,0.23816568,0.226331361,0.216568047,1,1,0.958579882,0.930177515,0.900591716,0.86183432,0.826923077,0.785798817,0.763313609,0.736390533
YouTube Instant ReserveP18+30sec,P18+,30sec,YouTube Instant Reserve,0.413443432,0.826747812,0.404877689,0.658166101,0.658166101,0.604438256,0.51425223,0.458605534,0.404877689,0.362662953,0.320448218,0.301259702,0.247531857,0.201479419,1,1,1,0.933981136,0.826747812,0.749548725,0.68058125,0.59759774,0.467727482,0.413443432
