Platform,Duration,Demographic,Key,CPM
Linear TV Regional 4 Seven Network,Other,P18-44,Linear TV Regional 4 Seven NetworkP18-44,12.7
Linear TV Regional 4 Nine Network,Other,P18-44,Linear TV Regional 4 Nine NetworkP18-44,12.7
Linear TV Regional 4 Ten Network,Other,P18-44,Linear TV Regional 4 Ten NetworkP18-44,12.7
Linear TV Regional 4 SBS Network,Other,P18-44,Linear TV Regional 4 SBS NetworkP18-44,12.7
Foxtel Linear,Other,P18-44,Foxtel LinearP18-44,9
YouTube Select,Other,P18-44,YouTube SelectP18-44,23.7
Nine Now,Other,P18-44,Nine NowP18-44,48
Ten Play,Other,P18-44,Ten PlayP18-44,40
Seven Plus,Other,P18-44,Seven PlusP18-44,40.8
SBS On Demand,Other,P18-44,SBS On DemandP18-44,39.2
Kayo,Other,P18-44,KayoP18-44,40
Foxtel Go,Other,P18-44,Foxtel GoP18-44,32
Binge,Other,P18-44,BingeP18-44,44
Netflix,Other,P18-44,NetflixP18-44,32
Optus Sport,Other,P18-44,Optus SportP18-44,32
Amazon Prime,Other,P18-44,Amazon PrimeP18-44,32
Linear TV Metro & Regional,30Sec,P18+,Linear TV Metro & RegionalP18+,24.3
Linear TV Metro,30Sec,P18+,Linear TV MetroP18+,25.4
Linear TV Regional,30Sec,P18+,Linear TV RegionalP18+,21.1
Linear TV Metro 5 Cap Seven Network,30Sec,P18+,Linear TV Metro 5 Cap Seven NetworkP18+,25.4
Linear TV Metro 5 Cap Nine Network,30Sec,P18+,Linear TV Metro 5 Cap Nine NetworkP18+,25.4
Linear TV Metro 5 Cap Ten Network,30Sec,P18+,Linear TV Metro 5 Cap Ten NetworkP18+,25.4
Linear TV Metro 5 Cap SBS Network,30Sec,P18+,Linear TV Metro 5 Cap SBS NetworkP18+,25.4
Linear TV Regional 4 Seven Network,30Sec,P18+,Linear TV Regional 4 Seven NetworkP18+,21.1
Linear TV Regional 4 Nine Network,30Sec,P18+,Linear TV Regional 4 Nine NetworkP18+,21.1
Linear TV Regional 4 Ten Network,30Sec,P18+,Linear TV Regional 4 Ten NetworkP18+,21.1
Linear TV Regional 4 SBS Network,30Sec,P18+,Linear TV Regional 4 SBS NetworkP18+,21.1
Foxtel Linear,30Sec,P18+,Foxtel LinearP18+,15
YouTube Select,30Sec,P18+,YouTube SelectP18+,29.6
Nine Now,30Sec,P18+,Nine NowP18+,60
Ten Play,30Sec,P18+,Ten PlayP18+,50
Seven Plus,30Sec,P18+,Seven PlusP18+,51
SBS On Demand,30Sec,P18+,SBS On DemandP18+,49
Kayo,30Sec,P18+,KayoP18+,50
Foxtel Go,30Sec,P18+,Foxtel GoP18+,40
Binge,30Sec,P18+,BingeP18+,55
Netflix,30Sec,P18+,NetflixP18+,40
Optus Sport,30Sec,P18+,Optus SportP18+,40
Amazon Prime,30Sec,P18+,Amazon PrimeP18+,40
Linear TV Metro & Regional,15Sec,P18+,Linear TV Metro & RegionalP18+,14.6
Linear TV Metro,15Sec,P18+,Linear TV MetroP18+,15.2
Linear TV Regional,15Sec,P18+,Linear TV RegionalP18+,12.7
Linear TV Metro 5 Cap Seven Network,15Sec,P18+,Linear TV Metro 5 Cap Seven NetworkP18+,15.2
Linear TV Metro 5 Cap Nine Network,15Sec,P18+,Linear TV Metro 5 Cap Nine NetworkP18+,15.2
Linear TV Metro 5 Cap Ten Network,15Sec,P18+,Linear TV Metro 5 Cap Ten NetworkP18+,15.2
Linear TV Metro 5 Cap SBS Network,15Sec,P18+,Linear TV Metro 5 Cap SBS NetworkP18+,15.2
Linear TV Regional 4 Seven Network,15Sec,P18+,Linear TV Regional 4 Seven NetworkP18+,12.7
