Platform,Duration,Demographic,Key,CPM
Linear TV Metro & Regional,30Sec,P18-44,Linear TV Metro & RegionalP18-44,24.3
Linear TV Metro,30Sec,P18-44,Linear TV MetroP18-44,25.4
Linear TV Regional,30Sec,P18-44,Linear TV RegionalP18-44,21.1
Linear TV Metro 5 Cap Seven Network,30Sec,P18-44,Linear TV Metro 5 Cap Seven NetworkP18-44,25.4
Linear TV Metro 5 Cap Nine Network,30Sec,P18-44,Linear TV Metro 5 Cap Nine NetworkP18-44,25.4
Linear TV Metro 5 Cap Ten Network,30Sec,P18-44,Linear TV Metro 5 Cap Ten NetworkP18-44,25.4
Linear TV Metro 5 Cap SBS Network,30Sec,P18-44,Linear TV Metro 5 Cap SBS NetworkP18-44,25.4
Linear TV Regional 4 Seven Network,30Sec,P18-44,Linear TV Regional 4 Seven NetworkP18-44,21.1
Linear TV Regional 4 Nine Network,30Sec,P18-44,Linear TV Regional 4 Nine NetworkP18-44,21.1
Linear TV Regional 4 Ten Network,30Sec,P18-44,Linear TV Regional 4 Ten NetworkP18-44,21.1
Linear TV Regional 4 SBS Network,30Sec,P18-44,Linear TV Regional 4 SBS NetworkP18-44,21.1
Foxtel Linear,30Sec,P18-44,Foxtel LinearP18-44,15
YouTube Select,30Sec,P18-44,YouTube SelectP18-44,29.6
Nine Now,30Sec,P18-44,Nine NowP18-44,60
Ten Play,30Sec,P18-44,Ten PlayP18-44,50
Seven Plus,30Sec,P18-44,Seven PlusP18-44,51
SBS On Demand,30Sec,P18-44,SBS On DemandP18-44,49
Kayo,30Sec,P18-44,KayoP18-44,50
Foxtel Go,30Sec,P18-44,Foxtel GoP18-44,40
Binge,30Sec,P18-44,BingeP18-44,55
Netflix,30Sec,P18-44,NetflixP18-44,40
Optus Sport,30Sec,P18-44,Optus SportP18-44,40
Amazon Prime,30Sec,P18-44,Amazon PrimeP18-44,40
Linear TV Metro & Regional,15Sec,P18-44,Linear TV Metro & RegionalP18-44,14.6
Linear TV Metro,15Sec,P18-44,Linear TV MetroP18-44,15.2
Linear TV Regional,15Sec,P18-44,Linear TV RegionalP18-44,12.7
Linear TV Metro 5 Cap Seven Network,15Sec,P18-44,Linear TV Metro 5 Cap Seven NetworkP18-44,15.2
Linear TV Metro 5 Cap Nine Network,15Sec,P18-44,Linear TV Metro 5 Cap Nine NetworkP18-44,15.2
Linear TV Metro 5 Cap Ten Network,15Sec,P18-44,Linear TV Metro 5 Cap Ten NetworkP18-44,15.2
Linear TV Metro 5 Cap SBS Network,15Sec,P18-44,Linear TV Metro 5 Cap SBS NetworkP18-44,15.2
Linear TV Regional 4 Seven Network,15Sec,P18-44,Linear TV Regional 4 Seven NetworkP18-44,12.7
Linear TV Regional 4 Nine Network,15Sec,P18-44,Linear TV Regional 4 Nine NetworkP18-44,12.7
Linear TV Regional 4 Ten Network,15Sec,P18-44,Linear TV Regional 4 Ten NetworkP18-44,12.7
Linear TV Regional 4 SBS Network,15Sec,P18-44,Linear TV Regional 4 SBS NetworkP18-44,12.7
Foxtel Linear,15Sec,P18-44,Foxtel LinearP18-44,9
YouTube Select,15Sec,P18-44,YouTube SelectP18-44,23.7
Nine Now,15Sec,P18-44,Nine NowP18-44,48
Ten Play,15Sec,P18-44,Ten PlayP18-44,40
Seven Plus,15Sec,P18-44,Seven PlusP18-44,40.8
SBS On Demand,15Sec,P18-44,SBS On DemandP18-44,39.2
Kayo,15Sec,P18-44,KayoP18-44,40
Foxtel Go,15Sec,P18-44,Foxtel GoP18-44,32
Binge,15Sec,P18-44,BingeP18-44,44
Netflix,15Sec,P18-44,NetflixP18-44,32
Optus Sport,15Sec,P18-44,Optus SportP18-44,32
Amazon Prime,15Sec,P18-44,Amazon PrimeP18-44,32
Linear TV Metro & Regional,Other,P18-44,Linear TV Metro & RegionalP18-44,14.6
Linear TV Metro,Other,P18-44,Linear TV MetroP18-44,15.2
Linear TV Regional,Other,P18-44,Linear TV RegionalP18-44,12.7
Linear TV Metro 5 Cap Seven Network,Other,P18-44,Linear TV Metro 5 Cap Seven NetworkP18-44,15.2
Linear TV Metro 5 Cap Nine Network,Other,P18-44,Linear TV Metro 5 Cap Nine NetworkP18-44,15.2
Linear TV Metro 5 Cap Ten Network,Other,P18-44,Linear TV Metro 5 Cap Ten NetworkP18-44,15.2
Linear TV Metro 5 Cap SBS Network,Other,P18-44,Linear TV Metro 5 Cap SBS NetworkP18-44,15.2
