Demo,Channel 1,Channel 2,Overlap.Factor
P25-54,P25-54YouTube Select,P25-54SBS On Demand,1.00
P25-54,P25-54YouTube Select,P25-54Kayo,1.00
P25-54,P25-54YouTube Select,P25-54Foxtel Go,1.00
P25-54,P25-54YouTube Select,P25-54Binge,1.00
P25-54,P25-54YouTube Select,P25-54Netflix,1.00
P25-54,P25-54YouTube Select,P25-54Optus Sport,1.00
P25-54,P25-54YouTube Select,P25-54Amazon Prime,1.00
P25-54,P25-54YouTube OMG Select,P25-54Nine Now,1.00
P25-54,P25-54YouTube OMG Select,P25-54Ten Play,1.00
P25-54,P25-54YouTube OMG Select,P25-54Seven Plus,1.00
P25-54,P25-54YouTube OMG Select,P25-54SBS On Demand,1.00
P25-54,P25-54YouTube OMG Select,P25-54Kayo,1.00
P25-54,P25-54YouTube OMG Select,P25-54Foxtel Go,1.00
P25-54,P25-54YouTube OMG Select,P25-54Binge,1.00
P25-54,P25-54YouTube OMG Select,P25-54Netflix,1.00
P25-54,P25-54YouTube OMG Select,P25-54Optus Sport,1.00
P25-54,P25-54YouTube OMG Select,P25-54Amazon Prime,1.00
P25-54,P25-54Nine Now,P25-54Ten Play,1.00
P25-54,P25-54Nine Now,P25-54Seven Plus,1.00
P25-54,P25-54Nine Now,P25-54SBS On Demand,1.00
P25-54,P25-54Nine Now,P25-54Kayo,1.00
P25-54,P25-54Nine Now,P25-54Foxtel Go,1.00
P25-54,P25-54Nine Now,P25-54Binge,1.00
P25-54,P25-54Nine Now,P25-54Netflix,1.00
P25-54,P25-54Nine Now,P25-54Optus Sport,1.00
P25-54,P25-54Nine Now,P25-54Amazon Prime,1.00
P25-54,P25-54Ten Play,P25-54Seven Plus,1.00
P25-54,P25-54Ten Play,P25-54SBS On Demand,1.00
P25-54,P25-54Ten Play,P25-54Kayo,1.00
P25-54,P25-54Ten Play,P25-54Foxtel Go,1.00
P25-54,P25-54Ten Play,P25-54Binge,1.00
P25-54,P25-54Ten Play,P25-54Netflix,1.00
P25-54,P25-54Ten Play,P25-54Optus Sport,1.00
P25-54,P25-54Ten Play,P25-54Amazon Prime,1.00
P25-54,P25-54Seven Plus,P25-54SBS On Demand,1.00
P25-54,P25-54Seven Plus,P25-54Kayo,1.00
P25-54,P25-54Seven Plus,P25-54Foxtel Go,1.00
P25-54,P25-54Seven Plus,P25-54Binge,1.00
P25-54,P25-54Seven Plus,P25-54Netflix,1.00
P25-54,P25-54Seven Plus,P25-54Optus Sport,1.00
P25-54,P25-54Seven Plus,P25-54Amazon Prime,1.00
P25-54,P25-54SBS On Demand,P25-54Kayo,1.00
P25-54,P25-54SBS On Demand,P25-54Foxtel Go,1.00
P25-54,P25-54SBS On Demand,P25-54Binge,1.00
P25-54,P25-54SBS On Demand,P25-54Netflix,1.00
P25-54,P25-54SBS On Demand,P25-54Optus Sport,1.00
P25-54,P25-54SBS On Demand,P25-54Amazon Prime,1.00
P25-54,P25-54Kayo,P25-54Foxtel Go,1.00
P25-54,P25-54Kayo,P25-54Binge,1.00
P25-54,P25-54Kayo,P25-54Netflix,1.00
P25-54,P25-54Kayo,P25-54Optus Sport,1.00
P25-54,P25-54Kayo,P25-54Amazon Prime,1.00
P25-54,P25-54Foxtel Go,P25-54Binge,1.00
P25-54,P25-54Foxtel Go,P25-54Netflix,1.00
P25-54,P25-54Foxtel Go,P25-54Optus Sport,1.00
P25-54,P25-54Foxtel Go,P25-54Amazon Prime,1.00
P25-54,P25-54Binge,P25-54Netflix,1.00
P25-54,P25-54Binge,P25-54Optus Sport,1.00
P25-54,P25-54Binge,P25-54Amazon Prime,1.00
P25-54,P25-54Netflix,P25-54Optus Sport,1.00
P25-54,P25-54Netflix,P25-54Amazon Prime,1.00
P25-54,P25-54Optus Sport,P25-54Amazon Prime,1.00
P18+,P18+Linear TV Metro & Regional,P18+Linear TV Metro,1.00
P18+,P18+Linear TV Metro & Regional,P18+Linear TV Regional,1.00
P18+,P18+Linear TV Metro & Regional,P18+Linear TV Metro 5 Cap Seven Network,1.00
P18+,P18+Linear TV Metro & Regional,P18+Linear TV Metro 5 Cap Nine Network,1.00
P18+,P18+Linear TV Metro & Regional,P18+Linear TV Metro 5 Cap Ten Network,1.00
P18+,P18+Linear TV Metro & Regional,P18+Linear TV Metro 5 Cap SBS Network,1.00
P18+,P18+Linear TV Metro & Regional,P18+Linear TV Regional 4 Seven Network,1.00
P18+,P18+Linear TV Metro & Regional,P18+Linear TV Regional 4 Nine Network,1.00
P18+,P18+Linear TV Metro & Regional,P18+Linear TV Regional 4 Ten Network,1.00
P18+,P18+Linear TV Metro & Regional,P18+Linear TV Regional 4 SBS Network,1.00
P18+,P18+Linear TV Metro & Regional,P18+Foxtel Linear,1.00
P18+,P18+Linear TV Metro & Regional,P18+YouTube TrueView,1.00
P18+,P18+Linear TV Metro & Regional,P18+YouTube Instant Reserve,1.00
P18+,P18+Linear TV Metro & Regional,P18+YouTube Select,1.00
P18+,P18+Linear TV Metro & Regional,P18+YouTube OMG Select,1.00
P18+,P18+Linear TV Metro & Regional,P18+Nine Now,1.00
P18+,P18+Linear TV Metro & Regional,P18+Ten Play,1.00
P18+,P18+Linear TV Metro & Regional,P18+Seven Plus,1.00
P18+,P18+Linear TV Metro & Regional,P18+SBS On Demand,1.00
P18+,P18+Linear TV Metro & Regional,P18+Kayo,1.00
P18+,P18+Linear TV Metro & Regional,P18+Foxtel Go,1.00
P18+,P18+Linear TV Metro & Regional,P18+Binge,1.00
P18+,P18+Linear TV Metro & Regional,P18+Netflix,1.00
P18+,P18+Linear TV Metro & Regional,P18+Optus Sport,1.00
P18+,P18+Linear TV Metro & Regional,P18+Amazon Prime,1.00
P18+,P18+Linear TV Metro,P18+Linear TV Regional,1.00
P18+,P18+Linear TV Metro,P18+Linear TV Metro 5 Cap Seven Network,1.00
P18+,P18+Linear TV Metro,P18+Linear TV Metro 5 Cap Nine Network,1.00
