Platform,Demographic,Key,30Sec CPM,15Sec CPM,Other Sec CPM
Linear TV Regional 4 Ten Network,P18-44,Linear TV Regional 4 Ten NetworkP18-44,33.15,19.89,19.89
Linear TV Regional 4 SBS Network,P18-44,Linear TV Regional 4 SBS NetworkP18-44,34.71,20.8275,20.8275
Foxtel Linear,P18-44,Foxtel LinearP18-44,48,29,29
YouTube TrueView,P18-44,YouTube TrueViewP18-44,35,25,25
YouTube Instant Reserve,P18-44,YouTube Instant ReserveP18-44,49,35,35
YouTube Select,P18-44,YouTube SelectP18-44,42,30,30
YouTube OMG Select,P18-44,YouTube OMG SelectP18-44,56,40,40
Nine Now,P18-44,Nine NowP18-44,39,28,28
Ten Play,P18-44,Ten PlayP18-44,34,28,28
Seven Plus,P18-44,Seven PlusP18-44,44,31,31
SBS On Demand,P18-44,SBS On DemandP18-44,44,44,44
Kayo,P18-44,KayoP18-44,39,33,33
Foxtel Go,P18-44,Foxtel GoP18-44,36,25,25
Binge,P18-44,BingeP18-44,51,36,36
Netflix,P18-44,NetflixP18-44,45,36,36
Optus Sport,P18-44,Optus SportP18-44,34,34,34
Amazon Prime,P18-44,Amazon PrimeP18-44,48,37,37
Linear TV Metro & Regional,P18+,Linear TV Metro & RegionalP18+,29.15,17.49,17.49
Linear TV Metro,P18+,Linear TV MetroP18+,31.55,18.93,18.93
Linear TV Regional,P18+,Linear TV RegionalP18+,13.78,8.27,8.27
Linear TV Metro 5 Cap Seven Network,P18+,Linear TV Metro 5 Cap Seven NetworkP18+,38.7,23.22,23.22
Linear TV Metro 5 Cap Nine Network,P18+,Linear TV Metro 5 Cap Nine NetworkP18+,32.58,19.55,19.55
Linear TV Metro 5 Cap Ten Network,P18+,Linear TV Metro 5 Cap Ten NetworkP18+,27.7,16.6175,16.6175
Linear TV Metro 5 Cap SBS Network,P18+,Linear TV Metro 5 Cap SBS NetworkP18+,23.66,14.1975,14.1975
Linear TV Regional 4 Seven Network,P18+,Linear TV Regional 4 Seven NetworkP18+,11.98,7.19,7.19
Linear TV Regional 4 Nine Network,P18+,Linear TV Regional 4 Nine NetworkP18+,10.82,6.49,6.49
Linear TV Regional 4 Ten Network,P18+,Linear TV Regional 4 Ten NetworkP18+,9.19,5.5165,5.5165
Linear TV Regional 4 SBS Network,P18+,Linear TV Regional 4 SBS NetworkP18+,10.34,6.2025,6.2025
Foxtel Linear,P18+,Foxtel LinearP18+,23,14,14
YouTube TrueView,P18+,YouTube TrueViewP18+,35,25,25
YouTube Instant Reserve,P18+,YouTube Instant ReserveP18+,49,35,35
YouTube Select,P18+,YouTube SelectP18+,42,30,30
YouTube OMG Select,P18+,YouTube OMG SelectP18+,56,40,40
Nine Now,P18+,Nine NowP18+,39,28,28
Ten Play,P18+,Ten PlayP18+,34,28,28
Seven Plus,P18+,Seven PlusP18+,44,31,31
SBS On Demand,P18+,SBS On DemandP18+,44,44,44
Kayo,P18+,KayoP18+,39,33,33
Foxtel Go,P18+,Foxtel GoP18+,36,25,25
Binge,P18+,BingeP18+,51,36,36
Netflix,P18+,NetflixP18+,45,36,36
Optus Sport,P18+,Optus SportP18+,34,34,34
Amazon Prime,P18+,Amazon PrimeP18+,48,37,37
Linear TV Metro & Regional,P18-64,Linear TV Metro & RegionalP18-64,50.35,30.21,30.21
Linear TV Metro,P18-64,Linear TV MetroP18-64,54.13,32.48,32.48
Linear TV Regional,P18-64,Linear TV RegionalP18-64,24.08,14.45,14.45
