Platform,Duration,Demographic,Key,CPM
Ten Play,Other,P25-54,Ten PlayP25-54,28
Seven Plus,Other,P25-54,Seven PlusP25-54,31
SBS On Demand,Other,P25-54,SBS On DemandP25-54,44
Kayo,Other,P25-54,KayoP25-54,33
Foxtel Go,Other,P25-54,Foxtel GoP25-54,25
Binge,Other,P25-54,BingeP25-54,36
Netflix,Other,P25-54,NetflixP25-54,36
Optus Sport,Other,P25-54,Optus SportP25-54,34
Amazon Prime,Other,P25-54,Amazon PrimeP25-54,37
Linear TV Metro & Regional,30Sec,P18-44,Linear TV Metro & RegionalP18-44,77
Linear TV Metro,30Sec,P18-44,Linear TV MetroP18-44,81
Linear TV Regional,30Sec,P18-44,Linear TV RegionalP18-44,67
Linear TV Metro 5 Cap Seven Network,30Sec,P18-44,Linear TV Metro 5 Cap Seven NetworkP18-44,81
Linear TV Metro 5 Cap Nine Network,30Sec,P18-44,Linear TV Metro 5 Cap Nine NetworkP18-44,81
Linear TV Metro 5 Cap Ten Network,30Sec,P18-44,Linear TV Metro 5 Cap Ten NetworkP18-44,81
Linear TV Metro 5 Cap SBS Network,30Sec,P18-44,Linear TV Metro 5 Cap SBS NetworkP18-44,81
Linear TV Regional 4 Seven Network,30Sec,P18-44,Linear TV Regional 4 Seven NetworkP18-44,67
Linear TV Regional 4 Nine Network,30Sec,P18-44,Linear TV Regional 4 Nine NetworkP18-44,67
Linear TV Regional 4 Ten Network,30Sec,P18-44,Linear TV Regional 4 Ten NetworkP18-44,67
Linear TV Regional 4 SBS Network,30Sec,P18-44,Linear TV Regional 4 SBS NetworkP18-44,67
Foxtel Linear,30Sec,P18-44,Foxtel LinearP18-44,48
YouTube TrueView,30Sec,P18-44,YouTube TrueViewP18-44,35
YouTube Instant Reserve,30Sec,P18-44,YouTube Instant ReserveP18-44,49
YouTube Select,30Sec,P18-44,YouTube SelectP18-44,42
YouTube OMG Select,30Sec,P18-44,YouTube OMG SelectP18-44,56
Nine Now,30Sec,P18-44,Nine NowP18-44,39
Ten Play,30Sec,P18-44,Ten PlayP18-44,34
Seven Plus,30Sec,P18-44,Seven PlusP18-44,44
SBS On Demand,30Sec,P18-44,SBS On DemandP18-44,44
Kayo,30Sec,P18-44,KayoP18-44,39
Foxtel Go,30Sec,P18-44,Foxtel GoP18-44,36
Binge,30Sec,P18-44,BingeP18-44,51
Netflix,30Sec,P18-44,NetflixP18-44,45
Optus Sport,30Sec,P18-44,Optus SportP18-44,34
Amazon Prime,30Sec,P18-44,Amazon PrimeP18-44,48
Linear TV Metro & Regional,15Sec,P18-44,Linear TV Metro & RegionalP18-44,47
Linear TV Metro,15Sec,P18-44,Linear TV MetroP18-44,48
Linear TV Regional,15Sec,P18-44,Linear TV RegionalP18-44,40
Linear TV Metro 5 Cap Seven Network,15Sec,P18-44,Linear TV Metro 5 Cap Seven NetworkP18-44,48
Linear TV Metro 5 Cap Nine Network,15Sec,P18-44,Linear TV Metro 5 Cap Nine NetworkP18-44,48
Linear TV Metro 5 Cap Ten Network,15Sec,P18-44,Linear TV Metro 5 Cap Ten NetworkP18-44,48
Linear TV Metro 5 Cap SBS Network,15Sec,P18-44,Linear TV Metro 5 Cap SBS NetworkP18-44,48
Linear TV Regional 4 Seven Network,15Sec,P18-44,Linear TV Regional 4 Seven NetworkP18-44,40
Linear TV Regional 4 Nine Network,15Sec,P18-44,Linear TV Regional 4 Nine NetworkP18-44,40
Linear TV Regional 4 Ten Network,15Sec,P18-44,Linear TV Regional 4 Ten NetworkP18-44,40
Linear TV Regional 4 SBS Network,15Sec,P18-44,Linear TV Regional 4 SBS NetworkP18-44,40
Foxtel Linear,15Sec,P18-44,Foxtel LinearP18-44,29
YouTube TrueView,15Sec,P18-44,YouTube TrueViewP18-44,25
YouTube Instant Reserve,15Sec,P18-44,YouTube Instant ReserveP18-44,35
YouTube Select,15Sec,P18-44,YouTube SelectP18-44,30
YouTube OMG Select,15Sec,P18-44,YouTube OMG SelectP18-44,40
Nine Now,15Sec,P18-44,Nine NowP18-44,28
Ten Play,15Sec,P18-44,Ten PlayP18-44,28
Seven Plus,15Sec,P18-44,Seven PlusP18-44,31
SBS On Demand,15Sec,P18-44,SBS On DemandP18-44,44
Kayo,15Sec,P18-44,KayoP18-44,33
Foxtel Go,15Sec,P18-44,Foxtel GoP18-44,25
Binge,15Sec,P18-44,BingeP18-44,36
Netflix,15Sec,P18-44,NetflixP18-44,36
Optus Sport,15Sec,P18-44,Optus SportP18-44,34
Amazon Prime,15Sec,P18-44,Amazon PrimeP18-44,37
Linear TV Metro & Regional,Other,P18-44,Linear TV Metro & RegionalP18-44,47
Linear TV Metro,Other,P18-44,Linear TV MetroP18-44,48
Linear TV Regional,Other,P18-44,Linear TV RegionalP18-44,40
Linear TV Metro 5 Cap Seven Network,Other,P18-44,Linear TV Metro 5 Cap Seven NetworkP18-44,48
Linear TV Metro 5 Cap Nine Network,Other,P18-44,Linear TV Metro 5 Cap Nine NetworkP18-44,48
Linear TV Metro 5 Cap Ten Network,Other,P18-44,Linear TV Metro 5 Cap Ten NetworkP18-44,48
Linear TV Metro 5 Cap SBS Network,Other,P18-44,Linear TV Metro 5 Cap SBS NetworkP18-44,48
Linear TV Regional 4 Seven Network,Other,P18-44,Linear TV Regional 4 Seven NetworkP18-44,40
Linear TV Regional 4 Nine Network,Other,P18-44,Linear TV Regional 4 Nine NetworkP18-44,40
Linear TV Regional 4 Ten Network,Other,P18-44,Linear TV Regional 4 Ten NetworkP18-44,40
Linear TV Regional 4 SBS Network,Other,P18-44,Linear TV Regional 4 SBS NetworkP18-44,40
Foxtel Linear,Other,P18-44,Foxtel LinearP18-44,29
YouTube TrueView,Other,P18-44,YouTube TrueViewP18-44,25
YouTube Instant Reserve,Other,P18-44,YouTube Instant ReserveP18-44,35
YouTube Select,Other,P18-44,YouTube SelectP18-44,30
YouTube OMG Select,Other,P18-44,YouTube OMG SelectP18-44,40
Nine Now,Other,P18-44,Nine NowP18-44,28
Ten Play,Other,P18-44,Ten PlayP18-44,28
Seven Plus,Other,P18-44,Seven PlusP18-44,31
SBS On Demand,Other,P18-44,SBS On DemandP18-44,44
Kayo,Other,P18-44,KayoP18-44,33
Foxtel Go,Other,P18-44,Foxtel GoP18-44,25
Binge,Other,P18-44,BingeP18-44,36
Netflix,Other,P18-44,NetflixP18-44,36
Optus Sport,Other,P18-44,Optus SportP18-44,34
Amazon Prime,Other,P18-44,Amazon PrimeP18-44,37
Linear TV Metro & Regional,30Sec,P18+,Linear TV Metro & RegionalP18+,36
Linear TV Metro,30Sec,P18+,Linear TV MetroP18+,38
Linear TV Regional,30Sec,P18+,Linear TV RegionalP18+,32
Linear TV Metro 5 Cap Seven Network,30Sec,P18+,Linear TV Metro 5 Cap Seven NetworkP18+,38
Linear TV Metro 5 Cap Nine Network,30Sec,P18+,Linear TV Metro 5 Cap Nine NetworkP18+,38
Linear TV Metro 5 Cap Ten Network,30Sec,P18+,Linear TV Metro 5 Cap Ten NetworkP18+,38
Linear TV Metro 5 Cap SBS Network,30Sec,P18+,Linear TV Metro 5 Cap SBS NetworkP18+,38
Linear TV Regional 4 Seven Network,30Sec,P18+,Linear TV Regional 4 Seven NetworkP18+,32
Linear TV Regional 4 Nine Network,30Sec,P18+,Linear TV Regional 4 Nine NetworkP18+,32
